"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 13 12:11:47 UTC 2024","Wed Nov 13 12:11:58 UTC 2024","11133","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","MP3 QR type",""
"passed","Wed Nov 13 12:04:54 UTC 2024","Wed Nov 13 12:06:23 UTC 2024","89195","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Facebook QR type",""
"passed","Wed Nov 13 12:03:09 UTC 2024","Wed Nov 13 12:05:09 UTC 2024","120160","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Video QR type",""
"passed","Wed Nov 13 12:03:03 UTC 2024","Wed Nov 13 12:03:56 UTC 2024","53410","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Website QR type",""
"broken","Wed Nov 13 11:57:21 UTC 2024","Wed Nov 13 11:58:55 UTC 2024","93689","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","PDF QR type",""
"passed","Wed Nov 13 12:05:34 UTC 2024","Wed Nov 13 12:07:49 UTC 2024","134864","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","Apps QR type",""
"broken","Wed Nov 13 11:58:54 UTC 2024","Wed Nov 13 11:59:55 UTC 2024","61047","tests","test_admin_link_generation","TestAdminLinkGeneration","","","test_admin_create_uniq_payment_link[discount_70_promo_button-en-chromium]",""
"passed","Wed Nov 13 11:57:23 UTC 2024","Wed Nov 13 11:59:01 UTC 2024","98376","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Apps QR type",""
"passed","Wed Nov 13 12:04:17 UTC 2024","Wed Nov 13 12:05:17 UTC 2024","59705","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","Menu-Link QR type",""
"passed","Wed Nov 13 12:01:05 UTC 2024","Wed Nov 13 12:02:53 UTC 2024","107985","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Social_media QR type",""
"passed","Wed Nov 13 12:05:31 UTC 2024","Wed Nov 13 12:07:06 UTC 2024","94957","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","Website QR type",""
"broken","Wed Nov 13 11:59:42 UTC 2024","Wed Nov 13 12:02:11 UTC 2024","149618","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Business QR type",""
"passed","Wed Nov 13 12:07:28 UTC 2024","Wed Nov 13 12:09:50 UTC 2024","142520","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","Menu-PDF QR type",""
"passed","Wed Nov 13 12:06:36 UTC 2024","Wed Nov 13 12:09:14 UTC 2024","158184","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","Social_media QR type",""
"passed","Wed Nov 13 12:06:40 UTC 2024","Wed Nov 13 12:09:47 UTC 2024","187101","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","Business QR type",""
